"filename", "language", "Markdown", "YAML", "JavaScript", "JSON", "TypeScript JSX", "TypeScript", "PostCSS", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/ComponentCatalogPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 31, 13, 243
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/ComponentPropertiesPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 45, 26, 262
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/ConditionBuilder.tsx", "TypeScript JSX", 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 17, 27, 335
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/DebugPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 2, 7, 76
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/DependencyGraph.tsx", "TypeScript JSX", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 12, 18, 154
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/EditorSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 6, 6, 74
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/FormCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 3, 13, 137
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/FormPropertiesPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 20, 23, 301
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/FormulaEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 11, 33, 285
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/GroupCatalogPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 7, 90
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/LogicPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 540, 0, 0, 0, 0, 0, 0, 29, 569
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/LogicPlayground.tsx", "TypeScript JSX", 0, 0, 0, 0, 383, 0, 0, 0, 0, 0, 24, 24, 431
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/PageNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 7, 11, 112
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/PreviewPublishPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 2, 17
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/RightFloatingPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 9, 8, 78
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/TemplateCatalogPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 2, 17
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/ThemePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 2, 28
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/ThemingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 1003, 0, 0, 0, 0, 0, 63, 77, 1143
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/Workspaces.tsx", "TypeScript JSX", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 28, 25, 397
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/wip/AIPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/wip/TemplatePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/components/wip/ThemePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/hooks/useFormEditorController.ts", "TypeScript", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 20, 43, 222
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/hooks/useFormEditorHydration.ts", "TypeScript", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 13, 75
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/legacy/FormEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 579, 0, 0, 0, 0, 0, 36, 52, 667
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/overlays/EditorDragOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormEditor/useFormEditorShortcuts.ts", "TypeScript", 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 27, 42, 411
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormFill/FillFieldRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 430, 0, 0, 0, 0, 0, 0, 22, 452
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormFill/FormFill.tsx", "TypeScript JSX", 0, 0, 0, 0, 508, 0, 0, 0, 0, 0, 0, 48, 556
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormFill/FormPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 15, 168
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormFill/FormSuccess.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormFill/runtimeLogic.ts", "TypeScript", 0, 0, 0, 0, 0, 486, 0, 0, 0, 0, 1, 40, 527
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormReview/FormReview.tsx", "TypeScript JSX", 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 34, 399
